srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.2,10.10.242.11,64440,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,54899,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65166,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53386,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,58524,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64219,53,"['udp', 'dns']"
10.22.16.2,10.10.242.11,57580,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65318,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,64222,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57861,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65323,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,65503,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,65316,135,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,65376,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,57076,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,56546,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49489,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,55392,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49675,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50714,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50199,389,['tcp']
10.22.16.2,10.10.242.11,64944,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51647,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58583,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50531,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,50732,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64239,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50744,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52408,389,['tcp']
10.22.16.2,10.10.242.11,58714,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52230,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52961,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52777,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49253,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57966,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53333,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53149,389,['tcp']
10.22.16.2,10.10.242.11,53850,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57305,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55904,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56212,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55347,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56299,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56459,389,['tcp']
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57587,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57414,88,['tcp']
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57412,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58135,389,['tcp']
10.22.16.2,10.10.242.11,55025,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
