srcIp,dstIp,srcPort,dstPort,protocol
10.23.16.26,10.10.240.100,0,0,['icmp']
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.16.26,10.10.240.110,0,0,['icmp']
10.23.16.26,10.10.240.101,0,0,['icmp']
10.23.18.80,10.10.240.179,49928,12834,['tcp']
10.23.18.80,10.10.240.142,40188,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,40188,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,40188,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,49964,12834,['tcp']
10.23.18.80,10.10.240.179,49996,12834,['tcp']
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,49866,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,47182,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,49834,12834,['tcp']
10.23.18.80,10.10.240.179,50028,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,40580,9092,['tcp']
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,49898,12834,"['tcp', 'http2']"
10.23.16.26,10.10.240.101,0,0,['icmp']
10.23.16.26,10.10.240.110,0,0,['icmp']
10.23.16.26,10.10.240.101,0,0,['icmp']
10.23.18.80,10.10.240.143,47182,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,49800,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.16.26,10.10.240.100,0,0,['icmp']
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.16.26,10.10.240.110,0,0,['icmp']
10.23.18.80,10.10.240.143,47182,9092,"['kafka', 'tcp']"
10.23.16.26,10.10.240.101,0,0,['icmp']
10.23.18.80,10.10.240.179,49770,12834,['tcp']
10.23.18.80,10.10.240.142,40188,9092,"['kafka', 'tcp']"
10.23.16.26,10.10.240.110,0,0,['icmp']
10.23.18.80,10.10.240.179,49736,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,50094,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,50162,12834,"['tcp', 'http2']"
10.23.16.26,10.10.240.101,0,0,['icmp']
10.23.18.80,10.10.240.179,50126,12834,['tcp']
10.23.16.26,10.10.240.100,0,0,['icmp']
10.23.18.80,10.10.240.142,40580,9092,['tcp']
10.23.16.26,10.10.240.100,0,0,['icmp']
10.23.16.26,10.10.240.100,0,0,['icmp']
10.23.18.80,10.10.240.142,40874,9092,['tcp']
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,50356,12834,['tcp']
10.23.18.80,10.10.240.179,50388,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,50290,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,40506,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,50322,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,40874,9092,['tcp']
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,33048,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,50420,12834,['tcp']
10.23.18.80,10.10.240.179,50062,12834,['tcp']
10.23.18.80,10.10.240.179,50226,12834,"['tcp', 'http2']"
