srcIp,dstIp,srcPort,dstPort,protocol
10.22.25.21,10.10.242.10,59938,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,44373,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,32783,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57964,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,56214,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,60065,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,40555,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57324,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,38651,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,54590,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,34623,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,44278,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,56914,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,42333,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,33291,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,45072,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,44950,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,53327,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,60772,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,60908,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,53046,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,58156,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49443,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46447,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,35021,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,47829,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57992,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,50668,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49052,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,36808,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,37146,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,36994,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,34962,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,45477,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,36297,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,34168,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,52458,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49501,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,38864,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,48068,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46768,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,56047,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,38431,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,47970,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,36882,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46766,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49732,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,55453,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57269,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46263,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,40810,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,41022,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,58450,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,36315,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,43245,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,59795,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,37050,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57941,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,45760,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,45023,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,52586,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,52566,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,33927,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,43227,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,51315,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,55438,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,53403,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46815,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,59817,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49757,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,59574,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,60882,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,47760,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,34077,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,46447,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,51923,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,40944,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,39345,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,34789,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,57399,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,43301,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,41509,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,48753,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,45942,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,49454,53,"['udp', 'dns']"
10.22.25.21,10.10.242.10,60569,53,"['udp', 'dns']"
