srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.2,10.10.242.11,63199,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,63104,135,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,63110,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,63165,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,62345,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64822,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,62918,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49854,53,"['udp', 'dns']"
10.22.16.2,10.10.242.11,63112,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,56988,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,63337,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,63620,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,63742,389,['tcp']
10.22.16.2,10.10.242.11,51795,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64562,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65223,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53758,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64833,389,['tcp']
10.22.16.2,10.10.242.11,64714,389,['tcp']
10.22.16.2,10.10.242.11,50680,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64965,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49682,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49959,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49528,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49431,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49432,88,['tcp']
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49282,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,59040,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49267,88,['tcp']
10.22.16.2,10.10.242.11,49285,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,52372,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64700,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49444,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50230,389,['tcp']
10.22.16.2,10.10.242.11,50505,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,54522,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51323,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,51045,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,56086,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49948,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51742,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52028,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,59111,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51600,389,['tcp']
10.22.16.2,10.10.242.11,52166,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52312,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52593,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52730,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52969,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,52875,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53188,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53317,389,['tcp']
10.22.16.2,10.10.242.11,58878,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53268,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53741,389,['tcp']
10.22.16.2,10.10.242.11,52950,88,['tcp']
10.22.16.2,10.10.242.11,57315,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53459,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53017,88,['tcp']
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53190,88,['tcp']
10.22.16.2,10.10.242.11,53878,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,54159,389,['tcp']
10.22.16.2,10.10.242.11,54592,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54449,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58489,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55012,389,['tcp']
